circuit,num_qubits,circuit_depth,fault_type,noise_level,is_mutant,detected,passed_tests,total_tests,pass_rate
Bell_State,2,3,NONE (CLEAN),0.0,0,0,3,3,1.0
Bell_State,2,3,GATE_OMISSION,0.0,1,1,2,3,0.6666666666666666
Bell_State,2,3,WRONG_GATE,0.0,1,1,1,3,0.3333333333333333
Bell_State,2,3,WRONG_QUBIT,0.0,1,1,1,3,0.3333333333333333
Bell_State,2,3,GATE_ORDER_SWAP,0.0,1,1,1,3,0.3333333333333333
Bell_State,2,3,MEASUREMENT_MUTATION,0.0,1,0,3,3,1.0
Bell_State,2,3,CONTROLLED_OPERATION,0.0,1,1,2,3,0.6666666666666666
Bell_State,2,3,REDUNDANT_GATE,0.0,1,0,3,3,1.0
Bell_State,2,3,NONE (CLEAN),0.01,0,0,3,3,1.0
Bell_State,2,3,GATE_OMISSION,0.01,1,1,2,3,0.6666666666666666
Bell_State,2,3,WRONG_GATE,0.01,1,1,1,3,0.3333333333333333
Bell_State,2,3,WRONG_QUBIT,0.01,1,1,1,3,0.3333333333333333
Bell_State,2,3,GATE_ORDER_SWAP,0.01,1,1,1,3,0.3333333333333333
Bell_State,2,3,MEASUREMENT_MUTATION,0.01,1,0,3,3,1.0
Bell_State,2,3,CONTROLLED_OPERATION,0.01,1,1,2,3,0.6666666666666666
Bell_State,2,3,REDUNDANT_GATE,0.01,1,1,2,3,0.6666666666666666
Bell_State,2,3,NONE (CLEAN),0.02,0,0,3,3,1.0
Bell_State,2,3,GATE_OMISSION,0.02,1,1,2,3,0.6666666666666666
Bell_State,2,3,WRONG_GATE,0.02,1,1,1,3,0.3333333333333333
Bell_State,2,3,WRONG_QUBIT,0.02,1,1,1,3,0.3333333333333333
Bell_State,2,3,GATE_ORDER_SWAP,0.02,1,1,1,3,0.3333333333333333
Bell_State,2,3,MEASUREMENT_MUTATION,0.02,1,0,3,3,1.0
Bell_State,2,3,CONTROLLED_OPERATION,0.02,1,1,2,3,0.6666666666666666
Bell_State,2,3,REDUNDANT_GATE,0.02,1,0,3,3,1.0
Bell_State,2,3,NONE (CLEAN),0.05,0,0,3,3,1.0
Bell_State,2,3,GATE_OMISSION,0.05,1,1,2,3,0.6666666666666666
Bell_State,2,3,WRONG_GATE,0.05,1,1,1,3,0.3333333333333333
Bell_State,2,3,WRONG_QUBIT,0.05,1,1,1,3,0.3333333333333333
Bell_State,2,3,GATE_ORDER_SWAP,0.05,1,1,1,3,0.3333333333333333
Bell_State,2,3,MEASUREMENT_MUTATION,0.05,1,1,2,3,0.6666666666666666
Bell_State,2,3,CONTROLLED_OPERATION,0.05,1,1,2,3,0.6666666666666666
Bell_State,2,3,REDUNDANT_GATE,0.05,1,0,3,3,1.0
GHZ_3q,3,4,NONE (CLEAN),0.0,0,0,3,3,1.0
GHZ_3q,3,4,GATE_OMISSION,0.0,1,1,1,3,0.3333333333333333
GHZ_3q,3,4,WRONG_GATE,0.0,1,1,1,3,0.3333333333333333
GHZ_3q,3,4,WRONG_QUBIT,0.0,1,1,1,3,0.3333333333333333
GHZ_3q,3,4,GATE_ORDER_SWAP,0.0,1,1,1,3,0.3333333333333333
GHZ_3q,3,4,MEASUREMENT_MUTATION,0.0,1,0,3,3,1.0
GHZ_3q,3,4,CONTROLLED_OPERATION,0.0,1,1,2,3,0.6666666666666666
GHZ_3q,3,4,REDUNDANT_GATE,0.0,1,1,2,3,0.6666666666666666
GHZ_3q,3,4,NONE (CLEAN),0.01,0,0,3,3,1.0
GHZ_3q,3,4,GATE_OMISSION,0.01,1,1,1,3,0.3333333333333333
GHZ_3q,3,4,WRONG_GATE,0.01,1,1,2,3,0.6666666666666666
GHZ_3q,3,4,WRONG_QUBIT,0.01,1,1,2,3,0.6666666666666666
GHZ_3q,3,4,GATE_ORDER_SWAP,0.01,1,1,1,3,0.3333333333333333
GHZ_3q,3,4,MEASUREMENT_MUTATION,0.01,1,0,3,3,1.0
GHZ_3q,3,4,CONTROLLED_OPERATION,0.01,1,1,2,3,0.6666666666666666
GHZ_3q,3,4,REDUNDANT_GATE,0.01,1,0,3,3,1.0
GHZ_3q,3,4,NONE (CLEAN),0.02,0,0,3,3,1.0
GHZ_3q,3,4,GATE_OMISSION,0.02,1,1,2,3,0.6666666666666666
GHZ_3q,3,4,WRONG_GATE,0.02,1,1,1,3,0.3333333333333333
GHZ_3q,3,4,WRONG_QUBIT,0.02,1,1,1,3,0.3333333333333333
GHZ_3q,3,4,GATE_ORDER_SWAP,0.02,1,1,1,3,0.3333333333333333
GHZ_3q,3,4,MEASUREMENT_MUTATION,0.02,1,0,3,3,1.0
GHZ_3q,3,4,CONTROLLED_OPERATION,0.02,1,1,2,3,0.6666666666666666
GHZ_3q,3,4,REDUNDANT_GATE,0.02,1,0,3,3,1.0
GHZ_3q,3,4,NONE (CLEAN),0.05,0,0,3,3,1.0
GHZ_3q,3,4,GATE_OMISSION,0.05,1,1,1,3,0.3333333333333333
GHZ_3q,3,4,WRONG_GATE,0.05,1,1,2,3,0.6666666666666666
GHZ_3q,3,4,WRONG_QUBIT,0.05,1,1,1,3,0.3333333333333333
GHZ_3q,3,4,GATE_ORDER_SWAP,0.05,1,1,2,3,0.6666666666666666
GHZ_3q,3,4,MEASUREMENT_MUTATION,0.05,1,1,2,3,0.6666666666666666
GHZ_3q,3,4,CONTROLLED_OPERATION,0.05,1,1,2,3,0.6666666666666666
GHZ_3q,3,4,REDUNDANT_GATE,0.05,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,NONE (CLEAN),0.0,0,0,3,3,1.0
Teleportation_3q,3,7,GATE_OMISSION,0.0,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,WRONG_GATE,0.0,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,WRONG_QUBIT,0.0,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,GATE_ORDER_SWAP,0.0,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,MEASUREMENT_MUTATION,0.0,1,0,3,3,1.0
Teleportation_3q,3,7,CONTROLLED_OPERATION,0.0,1,1,2,3,0.6666666666666666
Teleportation_3q,3,7,REDUNDANT_GATE,0.0,1,0,3,3,1.0
Teleportation_3q,3,7,NONE (CLEAN),0.01,0,0,3,3,1.0
Teleportation_3q,3,7,GATE_OMISSION,0.01,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,WRONG_GATE,0.01,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,WRONG_QUBIT,0.01,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,GATE_ORDER_SWAP,0.01,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,MEASUREMENT_MUTATION,0.01,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,CONTROLLED_OPERATION,0.01,1,1,2,3,0.6666666666666666
Teleportation_3q,3,7,REDUNDANT_GATE,0.01,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,NONE (CLEAN),0.02,0,0,3,3,1.0
Teleportation_3q,3,7,GATE_OMISSION,0.02,1,1,2,3,0.6666666666666666
Teleportation_3q,3,7,WRONG_GATE,0.02,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,WRONG_QUBIT,0.02,1,0,3,3,1.0
Teleportation_3q,3,7,GATE_ORDER_SWAP,0.02,1,0,3,3,1.0
Teleportation_3q,3,7,MEASUREMENT_MUTATION,0.02,1,1,2,3,0.6666666666666666
Teleportation_3q,3,7,CONTROLLED_OPERATION,0.02,1,1,2,3,0.6666666666666666
Teleportation_3q,3,7,REDUNDANT_GATE,0.02,1,0,3,3,1.0
Teleportation_3q,3,7,NONE (CLEAN),0.05,0,0,3,3,1.0
Teleportation_3q,3,7,GATE_OMISSION,0.05,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,WRONG_GATE,0.05,1,0,3,3,1.0
Teleportation_3q,3,7,WRONG_QUBIT,0.05,1,0,3,3,1.0
Teleportation_3q,3,7,GATE_ORDER_SWAP,0.05,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,MEASUREMENT_MUTATION,0.05,1,1,1,3,0.3333333333333333
Teleportation_3q,3,7,CONTROLLED_OPERATION,0.05,1,1,2,3,0.6666666666666666
Teleportation_3q,3,7,REDUNDANT_GATE,0.05,1,0,3,3,1.0
Grover_2q,2,8,NONE (CLEAN),0.0,0,0,3,3,1.0
Grover_2q,2,8,GATE_OMISSION,0.0,1,1,1,3,0.3333333333333333
