circuit,fault_type,noise_level,target_index,top_1_hit,top_3_hit,rank_of_actual,exam_score
Bell_State,GATE_OMISSION,0.0,0,1,1,1,0.3333333333333333
Bell_State,WRONG_GATE,0.0,1,0,1,2,0.5
Bell_State,WRONG_QUBIT,0.0,0,1,1,1,0.25
Bell_State,GATE_ORDER_SWAP,0.0,0,1,1,1,0.25
Bell_State,CONTROLLED_OPERATION,0.0,0,1,1,1,0.25
Bell_State,GATE_OMISSION,0.01,0,1,1,1,0.3333333333333333
Bell_State,WRONG_GATE,0.01,1,1,1,1,0.25
Bell_State,WRONG_QUBIT,0.01,0,1,1,1,0.25
Bell_State,GATE_ORDER_SWAP,0.01,0,1,1,1,0.25
Bell_State,CONTROLLED_OPERATION,0.01,0,1,1,1,0.25
Bell_State,REDUNDANT_GATE,0.01,0,1,1,1,0.2
GHZ_3q,GATE_OMISSION,0.0,1,0,1,2,0.4
GHZ_3q,WRONG_GATE,0.0,1,0,1,2,0.3333333333333333
GHZ_3q,WRONG_QUBIT,0.0,1,0,1,2,0.3333333333333333
GHZ_3q,GATE_ORDER_SWAP,0.0,0,1,1,1,0.16666666666666666
GHZ_3q,CONTROLLED_OPERATION,0.0,0,1,1,1,0.16666666666666666
GHZ_3q,REDUNDANT_GATE,0.0,0,1,1,1,0.14285714285714285
GHZ_3q,GATE_OMISSION,0.01,1,0,1,2,0.4
GHZ_3q,WRONG_GATE,0.01,2,0,1,3,0.5
GHZ_3q,WRONG_QUBIT,0.01,0,1,1,1,0.16666666666666666
GHZ_3q,GATE_ORDER_SWAP,0.01,0,1,1,1,0.16666666666666666
GHZ_3q,CONTROLLED_OPERATION,0.01,0,1,1,1,0.16666666666666666
Teleportation_3q,GATE_OMISSION,0.0,1,0,1,2,0.2222222222222222
Teleportation_3q,WRONG_GATE,0.0,1,0,1,2,0.2
Teleportation_3q,WRONG_QUBIT,0.0,2,0,0,5,0.5
Teleportation_3q,GATE_ORDER_SWAP,0.0,1,0,0,5,0.5
Teleportation_3q,CONTROLLED_OPERATION,0.0,0,0,1,3,0.3
Teleportation_3q,GATE_OMISSION,0.01,2,0,0,5,0.5555555555555556
Teleportation_3q,WRONG_GATE,0.01,8,1,1,1,0.1
Teleportation_3q,WRONG_QUBIT,0.01,1,0,1,2,0.2
Teleportation_3q,GATE_ORDER_SWAP,0.01,2,0,0,4,0.4
Teleportation_3q,MEASUREMENT_MUTATION,0.01,9,0,0,10,1.0
Teleportation_3q,CONTROLLED_OPERATION,0.01,0,1,1,1,0.1
Teleportation_3q,REDUNDANT_GATE,0.01,4,1,1,1,0.09090909090909091
Grover_2q,GATE_OMISSION,0.0,0,1,1,1,0.07692307692307693
Grover_2q,WRONG_GATE,0.0,1,0,1,2,0.14285714285714285
Grover_2q,WRONG_QUBIT,0.0,10,0,1,3,0.21428571428571427
Grover_2q,GATE_ORDER_SWAP,0.0,2,0,0,4,0.2857142857142857
Grover_2q,CONTROLLED_OPERATION,0.0,8,0,0,5,0.35714285714285715
Grover_2q,REDUNDANT_GATE,0.0,2,0,1,2,0.13333333333333333
Grover_2q,WRONG_GATE,0.01,6,0,0,9,0.6428571428571429
Grover_2q,WRONG_QUBIT,0.01,1,0,1,2,0.14285714285714285
Grover_2q,GATE_ORDER_SWAP,0.01,6,0,0,6,0.42857142857142855
Grover_2q,MEASUREMENT_MUTATION,0.01,13,0,0,14,1.0
Grover_2q,CONTROLLED_OPERATION,0.01,9,0,0,5,0.35714285714285715
Grover_2q,REDUNDANT_GATE,0.01,3,0,1,2,0.13333333333333333
QFT_3q,GATE_OMISSION,0.0,6,0,0,7,0.7
QFT_3q,MEASUREMENT_MUTATION,0.0,8,0,0,9,0.8181818181818182
QFT_3q,CONTROLLED_OPERATION,0.0,1,0,1,2,0.18181818181818182
QFT_3q,REDUNDANT_GATE,0.0,1,1,1,1,0.08333333333333333
QFT_3q,WRONG_GATE,0.01,2,1,1,1,0.09090909090909091
QFT_3q,WRONG_QUBIT,0.01,1,1,1,1,0.09090909090909091
QFT_3q,MEASUREMENT_MUTATION,0.01,9,0,0,10,0.9090909090909091
QFT_3q,REDUNDANT_GATE,0.01,5,1,1,1,0.08333333333333333
QAOA_MaxCut_3q,GATE_OMISSION,0.0,1,0,0,4,0.23529411764705882
QAOA_MaxCut_3q,WRONG_GATE,0.0,6,1,1,1,0.05555555555555555
QAOA_MaxCut_3q,WRONG_QUBIT,0.0,6,1,1,1,0.05555555555555555
QAOA_MaxCut_3q,PARAMETER_PERTURBATION,0.0,4,0,0,5,0.2777777777777778
QAOA_MaxCut_3q,MEASUREMENT_MUTATION,0.0,16,0,0,17,0.9444444444444444
QAOA_MaxCut_3q,CONTROLLED_OPERATION,0.0,14,1,1,1,0.05555555555555555
QAOA_MaxCut_3q,REDUNDANT_GATE,0.0,6,1,1,1,0.05263157894736842
QAOA_MaxCut_3q,GATE_OMISSION,0.01,9,0,0,11,0.6470588235294118
QAOA_MaxCut_3q,WRONG_GATE,0.01,6,1,1,1,0.05555555555555555
QAOA_MaxCut_3q,WRONG_QUBIT,0.01,2,0,1,3,0.16666666666666666
QAOA_MaxCut_3q,MEASUREMENT_MUTATION,0.01,15,0,0,16,0.8888888888888888
QAOA_MaxCut_3q,CONTROLLED_OPERATION,0.01,7,0,0,8,0.4444444444444444
